website,category,tag,time,link,title,summary,image_link
finanical times,markets,US financial regulation,,https://www.ft.com/content/2f44ab60-5fa5-4ec4-8fef-de4dfca44520,US SEC opens door to more leveraged ETFs,Pre-clearance requirement removed for exchange traded funds using up to two times leverage,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Faf8e14e2-666a-458d-9cfa-960af28d04f3.jpg?source=next&fit=scale-down&dpr=2&width=340
finanical times,markets,EU financial regulation,,https://www.ft.com/content/389ffe54-c6d1-48c5-9cc8-aa30c26fc8a0,Stock exchanges prepare to activate their Brexit contingency plans ,,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F91782aae-cb75-4c53-a59c-1a0e881c387f.jpg?source=next&fit=scale-down&dpr=2&width=240
finanical times,markets,EU financial regulation,,https://www.ft.com/content/202e0f16-6024-4378-95c8-5b15ac9a5b3b,EU takes step to ease jitters over dual listings after Brexit,European investors will be allowed to trade sterling-quoted shares of EU companies,
finanical times,markets,EU financial regulation,,https://www.ft.com/content/389ffe54-c6d1-48c5-9cc8-aa30c26fc8a0,Stock exchanges prepare to activate their Brexit contingency plans ,,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F91782aae-cb75-4c53-a59c-1a0e881c387f.jpg?source=next&fit=scale-down&dpr=2&width=240
finanical times,markets,EU financial regulation,,https://www.ft.com/content/389ffe54-c6d1-48c5-9cc8-aa30c26fc8a0,Stock exchanges prepare to activate their Brexit contingency plans ,,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F91782aae-cb75-4c53-a59c-1a0e881c387f.jpg?source=next&fit=scale-down&dpr=2&width=240
finanical times,markets,EU financial regulation,,https://www.ft.com/content/60a9b710-30f5-4183-9426-ffe4a0c6ea72,EU explores tougher curbs on City hedge fund managers,European Commission consults on restricting overseas management of firms,
finanical times,markets,EU financial regulation,,https://www.ft.com/content/389ffe54-c6d1-48c5-9cc8-aa30c26fc8a0,Stock exchanges prepare to activate their Brexit contingency plans ,,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F91782aae-cb75-4c53-a59c-1a0e881c387f.jpg?source=next&fit=scale-down&dpr=2&width=240
finanical times,markets,EU financial regulation,,https://www.ft.com/content/389ffe54-c6d1-48c5-9cc8-aa30c26fc8a0,Stock exchanges prepare to activate their Brexit contingency plans ,,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F91782aae-cb75-4c53-a59c-1a0e881c387f.jpg?source=next&fit=scale-down&dpr=2&width=240
finanical times,markets,EU financial regulation,,https://www.ft.com/content/389ffe54-c6d1-48c5-9cc8-aa30c26fc8a0,Stock exchanges prepare to activate their Brexit contingency plans ,,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F91782aae-cb75-4c53-a59c-1a0e881c387f.jpg?source=next&fit=scale-down&dpr=2&width=240
finanical times,companies,US financial regulation,,https://www.ft.com/content/2f44ab60-5fa5-4ec4-8fef-de4dfca44520,US SEC opens door to more leveraged ETFs,Pre-clearance requirement removed for exchange traded funds using up to two times leverage,
finanical times,companies,EU tech regulation,,https://www.ft.com/content/4f8c1f88-0fca-426c-8b41-f18fd7c350ee,Big tech groups call on EU to limit liabilities over content moderation,Move comes as Brussels looks to update legislation on how harmful content is monitored and removed,
finanical times,companies,EU financial regulation,,https://www.ft.com/content/202e0f16-6024-4378-95c8-5b15ac9a5b3b,EU takes step to ease jitters over dual listings after Brexit,European investors will be allowed to trade sterling-quoted shares of EU companies,
finanical times,technology,EU tech regulation,,https://www.ft.com/content/4f8c1f88-0fca-426c-8b41-f18fd7c350ee,Big tech groups call on EU to limit liabilities over content moderation,Move comes as Brussels looks to update legislation on how harmful content is monitored and removed,
finanical times,technology,EU tech regulation,,https://www.ft.com/content/1f1097f8-8a96-43fb-b0d3-fa1b5e74c0e5,Booking.com hits out at EU rules it says will ‘hobble’ platform ,Brussels is preparing sweeping legislation to curb the market dominance of Big Tech,
finanical times,technology,Technology regulation,,https://www.ft.com/content/9d60adef-8581-43b3-8fd5-312b0e172a42,Top UK competition official threatens action against Google and Facebook,CMA’s Andrea Coscelli says he will start probes in a year if government fails to regulate,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F28ca627b-5e61-4777-b5c3-cc5c2dea1827.jpg?source=next&fit=scale-down&dpr=2&width=240
finanical times,technology,EU tech regulation,,https://www.ft.com/content/4a9ed79e-c8c8-4b47-8055-1cd029541c32,France and Netherlands join forces to back EU move against tech giants,Joint position paper says breaking up large companies is ‘on the table’,
